site,address,latitude,longitude
Lawrenceville,"Allegheny County Health Department, 301 39th Street, Building 7, Pittsburgh, PA 15201",40.46542,-79.960757
Liberty,"South Allegheny High School, 2743 Washington Blvd, McKeesport, PA 15133",40.323768,-79.868062
Lincoln,"Bellbridge Road, Elizabeth, PA 15037",40.308219,-79.869134
Glassport,"Water Tower on High Street, Glassport, PA 15045",40.326008,-79.881703
North Braddock,"North Braddock Borough Building, 600 Anderson Street, Braddock, PA 15104",40.402328,-79.860973
Harrison,"Highlands Senior High School, 1500 Pacific Avenue, Natrona Heights, PA 15065",40.617488,-79.727664
South Fayette,"South Fayette Elementary School, 3640 Old Oakdale Road, McDonald, PA 15057",40.375644,-80.169943
Clairton,"Clairton Education Center, 501 Waddel St., Clairton, PA 15025",40.294341,-79.885331
Avalon,"520 Orchard Ave. Avalon, PA 15202",40.499767,-80.071337
Flag Plaza,"Boy Scouts of America Building, 1275 Bedford Avenue, Pittsburgh, PA 15219",40.443367,-79.990293
Manchester,"Manchester Elementary School, 1612 Manhattan Street, Pittsburgh, PA 15233",40.456427,-80.02674
North Park,"North Park Golf Course, 10200 Kummer Road, Wexford, PA 15090",40.606624,-80.021669
Parkway East,"Hosanna House Event Center, 400 Sherwood Road, Pittsburgh, PA 15221",40.43743,-79.863572
West Mifflin,"New Emerson Elementary School, 1922 Pennsylvania Ave., West Mifflin, PA 15122",40.36290,-79.86506
